"id","sitenum","name","address","city","state","zip","email","flagship","ethfree_store","car_wash","def","photos"
"1","1","Buc-ees 01 Lake Jackson","899 Oyster Creek Drive","Lake Jackson","TX","77566","st0001@buc-ees.com","0","1","0","0","0"
"2","2","Buc-ees 02 Lake Jackson","101 N Hwy 2004","Lake Jackson","TX","77566","st0002@buc-ees.com","0","0","0","0","0"
"3","3","Buc-ees 03 Brazoria","801 N Brooks","Brazoria","TX","77422","st0003@buc-ees.com","0","1","0","1","0"
"5","5","Buc-ees 05 Brazoria","1101 S Brooks ","Brazoria","TX","77422","st0005@buc-ees.com","0","0","0","0","0"
"7","7","Buc-ees 07 Beach Store","4231 E. Hwy 332","Freeport","TX","77541","st0007@buc-ees.com","0","0","0","0","0"
"8","8","Buc-ees 08 Freeport","1002 N Brazosport Blvd.","Freeport","TX","77541","st0008@buc-ees.com","0","0","0","0","0"
"12","12","Buc-ees 12 Port Lavaca","2318 W Main","Port Lavaca","TX","77979","st0012@buc-ees.com","0","0","0","0","0"
"13","13","Buc-ees 13 Angleton","2299 E Mulberry St","Angleton","TX","77515","st0013@buc-ees.com","0","0","0","0","0"
"14","14","Buc-ees 14 Alvin","780 Hwy-35 N Byp","Alvin","TX","77511","st0014@buc-ees.com","0","0","0","0","0"
"15","15","Buc-ees 15 Gonzales","114 E Sarah DeWitt Dr","Gonzales","TX","78629","st0015@buc-ees.com","0","0","0","0","0"
"16","16","Buc-ees 16 Giddings","2375 E Austin St","Giddings","TX","78942","st0016@buc-ees.com","0","0","0","0","0"
"17","17","Buc-ees 17 Luling","10070 West IH 10","Luling","TX","78648","st0017@buc-ees.com","1","0","0","0","0"
"18","18","Buc-ees 18 Waller","40900 US Hwy 290 Bypass","Waller","TX","77484","st0018@buc-ees.com","1","1","0","1","0"
"19","19","Buc-ees 19 Pearland","2541 S Main St","Pearland","TX","77581","st0019@buc-ees.com","0","0","0","0","0"
"20","20","Buc-ees 20 Shadow Creek","11151 Shadow Creek Pky","Pearland","TX","77584","st0020@buc-ees.com","0","0","0","0","0"
"21","21","Buc-ees 21 Angleton","931 Loop 274","Angleton","TX","77515","st0021@buc-ees.com","0","0","0","0","0"
"22","22","Buc-ees 22 New Braunfels","2760 IH 35 North","New Braunfels","TX","78130","st0022@buc-ees.com","1","0","0","0","0"
"23","23","Buc-ees 23 League City","1702 League City Pkwy","League City","TX","77573","st0023@buc-ees.com","0","0","0","0","0"
"24","24","Buc-ees 24 Eagle Lake","505 E Main St","Eagle Lake","TX","77434","st0024@buc-ees.com","0","0","0","0","0"
"25","25","Buc-ees 25 Angleton","2304 W Mulberry St","Angleton","TX","77515","st0025@buc-ees.com","0","1","0","1","0"
"26","26","Buc-ees 26 Madisonville","205 IH-45 South","Madisonville","TX","77864","st0026@buc-ees.com","1","0","0","0","0"
"28","28","Buc-ees 28 Bastrop","1700 Highway 71 East","Bastrop","TX","78602","st0028@buc-ees.com","1","1","0","1","0"
"29","29","Buc-ees 29 Plantation","598 Hwy 332","Lake Jackson","TX","77566","st0029@buc-ees.com","0","0","1","0","0"
"35","35","Buc-ees 35 Temple","4155 N General Bruce Dr.","Temple","TX","76501","st0035@buc-ees.com","1","0","0","0","0"
"36","36","Buc-ees 36 Terrell ","506 W. IH 20","Terrell","TX","75160","st0036@buc-ees.com","1","0","0","0","0"
"37","37","Buc-ees 35 Fort Worth","15901 N Freeway","Fort Worth","TX","76177","st0037@buc-ees.com","1","0","0","1","0"
"39","39","Buc-ees 39 Denton","2800 S Interstate 35E","Denton","TX","76210","st0039@buc-ees.com","1","1","1","1","0"
"40","40","Buc-ees 40 Katy","27700 Katy Fwy","Katy","TX","77494","st0040@buc-ees.com","1","1","1","1","0"
"42","42","Buc-ees 42 Robertsdale","20403 County Rd. 68","Robertsdale","AL","36567","st0042@buc-ees.com","1","1","0","1","0"
"903","30","Buc-ees 30 Wharton","10484 US 59 Road","Wharton","TX","77488","st0030@buc-ees.com","1","0","0","1","0"
"904","31","Buc-ees 31 Crabb River Road","1243 Crabb River Rd","Richmond","TX","77469","st0031@buc-ees.com","0","0","1","0","0"
"905","32","Buc-ees 32 Cypress","27106 US Hwy 290","Cypress","TX","77433","st0032@buc-ees.com","0","0","1","0","0"
"921","33","Buc-ees 33 Texas City","6201 Gulf Fwy (IH 45)","Texas City","TX","77591","st0033@buc-ees.com","1","0","0","0","0"
"922","34","Buc-ees 34 Baytown","4080 East Freeway","Baytown","TX","77521","st0034@buc-ees.com","1","0","0","0","0"
